Tu falta de querer; Mon Laferte; Pop; 2015; Español; https://www.youtube.com/watch?v=V2UhHX70Ck4
Mi buen amor; Mon Laferte; Pop; 2017; Español; https://www.youtube.com/watch?v=cZsZXvvlYlk
Sugar; Maroon 5; Pop; 2012; Inglés; https://www.youtube.com/watch?v=09R8_2nJtjg
Bad Romance; Lady Gaga; Pop; 2009; Inglés; https://www.youtube.com/watch?v=qrO4YZeyl0I
Shake It Off; Taylor Swift; Pop; 2014; Inglés; https://www.youtube.com/watch?v=nfWlot6h_JM
I AM; IVE; Kpop; 2023; Coreano; https://www.youtube.com/watch?v=6ZUIwj3FgUY
The Feels; TWICE; Kpop; 2021; Coreano; https://www.youtube.com/watch?v=f5_wn8mexmM
Dynamite; BTS; Kpop; 2020; Coreano; https://www.youtube.com/watch?v=gdZLi9oWNZg
How You Like That; BLACKPINK; Kpop; 2020; Coreano; https://www.youtube.com/watch?v=ioNng23DkIM
TT; TWICE; Kpop; 2016; Coreano; https://www.youtube.com/watch?v=ePpPVE-GGJw
Heavy Rotation; AKB48; Jpop; 2010; Japonés; https://www.youtube.com/watch?v=lkHlnWFnA0c
Pretender; Official HIGE DANDism; Jpop; 2019; Japonés; https://www.youtube.com/watch?v=TQ8WlA2GXbk
Paprika; Foorin; Jpop; 2018; Japonés; https://www.youtube.com/watch?v=mcVqH76GSgQ
Shinunoga E-Wa; Fujii Kaze; Jpop; 2020; Japonés; https://www.youtube.com/watch?v=aFgNuXj4dnk
Gurenge; LiSA; Jpop; 2019; Japonés; https://www.youtube.com/watch?v=CwkzK-F0Y00
Bohemian Rhapsody; Queen; Rock; 1975; Inglés; https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Stairway to Heaven; Led Zeppelin; Rock; 1971; Inglés; https://www.youtube.com/watch?v=QkF3oxziUI4
Smells Like Teen Spirit; Nirvana; Rock; 1991; Inglés; https://www.youtube.com/watch?v=hTWKbfoikeg
Hotel California; Eagles; Rock; 1976; Inglés; https://www.youtube.com/watch?v=EqPtz5qN7HM
Sweet Child O' Mine; Guns N' Roses; Rock; 1987; Inglés; https://www.youtube.com/watch?v=1w7OgIMMRc4
Enter Sandman; Metallica; Metal; 1991; Inglés; https://www.youtube.com/watch?v=CD-E-LDc384
Iron Man; Black Sabbath; Metal; 1970; Inglés; https://www.youtube.com/watch?v=5s7_WbiR79E
Ace of Spades; Motörhead; Metal; 1980; Inglés; https://www.youtube.com/watch?v=pWB5JZRGl0U
Paranoid; Black Sabbath; Metal; 1970; Inglés; https://www.youtube.com/watch?v=0qanF-91aJo
Painkiller; Judas Priest; Metal; 1990; Inglés; https://www.youtube.com/watch?v=nM__lPTWThU
Despacito; Luis Fonsi ft. Daddy Yankee; Reggaetón; 2017; Español; https://www.youtube.com/watch?v=kJQP7kiw5Fk
Con Calma; Daddy Yankee ft. Snow; Reggaetón; 2019; Español; https://www.youtube.com/watch?v=DiItGE3eAyQ
Tusa; Karol G ft. Nicki Minaj; Reggaetón; 2019; Español; https://www.youtube.com/watch?v=tbneQDc2H3I
Baila Baila Baila; Ozuna; Reggaetón; 2019; Español; https://www.youtube.com/watch?v=pu2zBX6LkzE
Calma (Remix); Pedro Capó ft. Farruko; Reggaetón; 2018; Español; https://www.youtube.com/watch?v=1_zgKRBrT0Y
Lose Yourself; Eminem; Rap; 2002; Inglés; https://www.youtube.com/watch?v=_Yhyp-_hX2s
Sicko Mode; Travis Scott; Rap; 2018; Inglés; https://www.youtube.com/watch?v=6ONRf7h3Mdk
God's Plan; Drake; Rap; 2018; Inglés; https://www.youtube.com/watch?v=xpVfcZ0ZcFM
Rockstar; Post Malone ft. 21 Savage; Rap; 2017; Inglés; https://www.youtube.com/watch?v=UceaB4D0jpo
HUMBLE.; Kendrick Lamar; Rap; 2017; Inglés; https://www.youtube.com/watch?v=tvTRZJ-4EyI
Skinny Love; Bon Iver; Indie; 2007; Inglés; https://www.youtube.com/watch?v=ssdgFoHLwnk
Take Me Out; Franz Ferdinand; Indie; 2004; Inglés; https://www.youtube.com/watch?v=Ijk4j-r7qPA
Fluorescent Adolescent; Arctic Monkeys; Indie; 2007; Inglés; https://www.youtube.com/watch?v=ma9I9VBKPiw
Dog Days Are Over; Florence + The Machine; Indie; 2008; Inglés; https://www.youtube.com/watch?v=iWOyfLBYtuU
Electric Feel; MGMT; Indie; 2007; Inglés; https://www.youtube.com/watch?v=MmZexg8sxyk
Take Five; Dave Brubeck; Jazz; 1959; Sin letra; https://www.youtube.com/watch?v=vmDDOFXSgAs
So What; Miles Davis; Jazz; 1959; Sin letra; https://www.youtube.com/watch?v=zqNTltOGh5c
What a Wonderful World; Louis Armstrong; Jazz; 1967; Inglés; https://www.youtube.com/watch?v=CWzrABouyeE
Fly Me to the Moon; Frank Sinatra; Jazz; 1964; Inglés; https://www.youtube.com/watch?v=ZEcqHA7dbwM
Feeling Good; Nina Simone; Jazz; 1965; Inglés; https://www.youtube.com/watch?v=D5Y11hwjMNs
Für Elise; Ludwig van Beethoven; Clásica; 1810; Sin letra; https://www.youtube.com/watch?v=_mVW8tgGY_w
